Isolamento/Qarantena al 14-03-2020;;;;
;;;;
Comune di residenza;Numero casi al 13-03-2020;Numero casi al 14-03-2020;aumento dei casi dal giorno prima;
Aldino;4;4;0;
Appiano;11;12;1;
AUSTRIA;1;1;0;
Barbian;1;2;1;
Bolzano;132;151;19;
Brenner;9;9;0;
Bressanone;18;26;8;
Bronzolo;1;1;0;
Bruneck;2;3;1;
Casamassima (BA);1;1;0;
Chiusa;2;2;0;
Collepietra;1;1;0;
Copertino (Le);0;1;1;
Cornedo all'Isarco;1;1;0;
Corvara in Badia;1;4;3;
Danta di Cadore;2;2;0;
Deutschnofen;2;4;2;
Egna;5;6;1;
Enneberg;7;7;0;
Fano;1;1;0;
Feltre;3;3;0;
Fiè allo Sciliar;4;4;0;
Flumine maggiore;1;1;0;
Fortezza;1;2;1;
Gais;0;2;2;
Gargazzone;1;3;2;
Goldrain;0;1;1;
Gröden;0;2;2;
Gsies;0;1;1;
Innichen;1;1;0;
Ischia;2;2;0;
Kaltern;19;17;-2;2
Karneid;1;2;1;
Kastelruth;28;26;-2;2
Kiens;0;3;3;
Laas;0;2;2;
Laion;3;4;1;
Laives;9;9;0;
Lana;4;6;2;
Lasa;2;3;1;
Latsch;1;5;4;
Magreid;1;1;0;
Malles Venosta;0;2;2;
Marling;1;1;0;
Mede;1;1;0;
Merano ;36;40;4;
Meransen;1;1;0;
Moor in Passeier;3;3;0;
Moos in Passeier;1;1;0;
Mühlbach;1;1;0;
Musile di Piave Venezia;1;1;0;
Naturno;3;3;0;
Natz-Schabs;7;7;0;
Neumarkt;2;2;0;
Nova Levante;21;21;0;
Nova Ponente;39;39;0;
Olang;0;1;1;
Ortisei;27;44;17;
Percha;0;1;1;
Petersberg;2;2;0;
Pfalzen;0;1;1;
Postal;0;1;1;
Prad am Stilfserjoch;1;1;0;
Prato allo Stelvio;0;1;1;
Racines;2;4;2;
Renon;8;9;1;
Resia;0;2;2;
Ruvo di Puglia (BA);2;2;0;
S.Cristina;24;21;-3;3
S.Genesio;1;1;0;
Salorno;0;1;1;
San Martino;2;1;-1;1
Sant` Andrea ;1;1;0;
Santo Stefano di Cadore;1;1;0;
Schenna;0;1;1;
Schlanders;3;8;5;
Schluderns;1;1;0;
Selva;0;2;2;
Selva di Val Gardena;77;77;0;
Silandro;0;4;4;
Sinigo;1;1;0;
Sirmione (BS);1;1;0;
Slowakei - Kezmarok;0;1;1;
St. Leonhard;1;1;0;
St. martin in Thurn;1;1;0;
St. Pankraz;3;3;0;
St.Lorenzen;1;2;1;
Steinegg;1;1;0;
Terlan;5;5;0;
Tesero;1;1;0;
Tesimo;1;1;0;
Tiers;0;4;4;
Tires;9;10;1;
Tirolo;1;1;0;
Toblach;0;1;1;
Trento;2;2;0;
Tresignana (FE);2;2;0;
Udine;1;1;0;
Ulten;1;1;0;
Vadena;1;1;0;
Vahrn;6;6;0;
val di vizze;2;2;0;
Val Floreana (TN);1;1;0;
Val Martello;1;1;0;
Valle di San Pietro di Cadore;1;1;0;
Varna;0;2;2;
Velturno;4;5;1;
Vintl;1;1;0;
vipiteno;4;4;0;
Völs;0;2;2;
(vuoto);105;83;-22;
Totale complessivo;710;799;89;8
;;;;
;;;;
;;;;
